id,name,address_01,address_02,city,id_geo_states,postal_code
187,Roy W. Brown Middle School,130 S WASHINGTON AVE,,Bergenfield,37,07621-2902
3200,RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL,74 RIDGE ROAD,,Rumson,37,07760-1896
3573,Russell O. Brackman Middle School,600 BARNEGAT BLVD  NORTH,,Barnegat,37,8005
7483,Rutgers Children's Choir Scarlet Singers,Mason Gross School of the Arts,NULL,New Brunswick,37,8901
5319,Rutgers Preparatory School,1345 Easton Ave,,Somerset,37,8873
599,Rutherford High School,56 ELLIOTT PL,,Rutherford,37,07070-1965
4044,RYERSON ELEMENTARY SCHOOL,30 MC CLELLAND AVENUE,,Wayne,37,07470-7411
609,Saddle Brook Middle/High School,355 MAYHILL STREET,,SADDLE BROOK,37,7663
7508,Saddle River Day School,147 Chestnut Ridge Road,NULL,Saddle River,37,7458
7481,Saint Joseph High School,328 Vine Street,NULL,Hammonton,37,8037
7506,Saint Mary of the Lakes School,196 NJ-70,NULL,Medford,37,8088
7478,Saint Mary School,735 Union Road,NULL,Vineland,37,8360
7519,Saint Rose High School,607 7th Avenue,NULL,Belmar,37,7719
4127,Salem Campus,45 Cheney Road,,Woodstown,37,08098-9451
4129,Salem County Career and Technical High S,880 Route 45,,Woodstown,37,08098-0350
7494,Salem County Christian Academy,104 Sparks Avenue,NULL,Pennsville,37,8070
3325,Salem Drive School,29 SALEM DRIVE,,Whippany,37,7981
4117,Salem High School,219 Walnut Street,,Salem,37,08079-9048
4119,Salem Middle School,51 New Market Street,,Salem,37,08079-9048
611,SALOME H. LONG MEMORIAL SCHOOL,260 FLORAL LANE,,SADDLE BROOK,37,7663
4550,Salt Brook School,40 MAPLE ST,,NEW PROVIDENCE,37,07974-2403
2048,Salvatore R. Calabro,524 Park Avenue,,Hoboken,37,07030-3906
4210,Sampson G. Smith School,1649 AMWELL ROAD,,Somerset,37,8873
2790,Samsel Upper Elementary School,298 ERNSTON ROAD,,Parlin,37,8859
2760,Samuel E. Shull Middle School,380 HALL AVENUE,,PERTH AMBOY,37,08861-3205
769,Samuel M Ridgway Middle School,300 DELANCO RD,,EDGEWATER PARK,37,8010
1868,Samuel Mickle School,559 KINGS HIGHWAY,,Mickleton,37,8056
3794,Samuel R. Donald Elementary School,29 CAPTOLENE AVENUE,,Bloomingdale,37,7403
1213,Samuel S. Yellin Elementary School,111 WARWICK ROAD,,Stratford,37,8084
740,Samuel Smith Elementary School,250 FARNER AVENUE,,Burlington,37,8016
909,Samuel T. Busansky School,16 SCRAPETOWN ROAD,,Pemberton,37,8068
1277,Sandman Consolidated School,838 SEASHORE RD,,CAPE MAY,37,08204-4650
